word frequencyM frequencyNA sum
spanish 0 5 5
servant 0 5 5
side 0 5 5
four 0 5 5
principal 0 5 5
voice 0 5 5
saviour 0 5 5
bowed 0 5 5
used 0 5 5
seemeth 0 5 5
taketh 0 5 5
alone 0 5 5
spake 0 5 5
custom 0 5 5
appointed 0 5 5
respect 0 5 5
dinner 0 5 5
old 0 5 5
white 0 5 5
linen 0 5 5
law 0 5 5
laid 0 5 5
remote 0 5 5
question 0 5 5
f 0 5 5
boats 0 5 5
brethren 0 5 5
near 0 5 5
ark 0 5 5
read 0 5 5
voyages 0 5 5
atlantis 0 5 5
times 0 5 5
hundred 0 5 5
memory 0 5 5
mountains 0 5 5
trees 0 5 5
depth 0 5 5
sons 0 5 5
arts 0 5 5
going 0 5 5
sometimes 0 5 5
silk 0 5 5
head 0 5 5
jew 0 5 5
mixtures 0 5 5
againe 4 0 4
faire 4 0 4
foule 4 0 4
hast 2 2 4
th 4 0 4
selfe 4 0 4
please 4 0 4
morrow 3 1 4
twelve 1 3 4
goe 4 0 4
bold 4 0 4
deed 4 0 4
descended 1 3 4
meane 4 0 4
purpose 1 3 4
last 1 3 4
labour 2 2 4
young 1 3 4
royall 4 0 4
carried 1 3 4
highness 4 0 4
attend 1 3 4
spent 1 3 4
mile 1 3 4
degrees 1 3 4
society 1 3 4
table 1 3 4
proper 1 3 4
morning 1 3 4
em 4 0 4
low 1 3 4
twenty 1 3 4
traitor 4 0 4
scotland 4 0 4
open 1 3 4
neere 4 0 4
led 1 3 4
gracious 2 2 4
women 1 3 4
sey 4 0 4
paid 1 3 4
china 0 4 4
south 0 4 4
west 0 4 4
finding 0 4 4
death 0 4 4
mercy 0 4 4
discovered 0 4 4
dry 0 4 4
show 0 4 4
half 0 4 4
shore 0 4 4
present 0 4 4
parchment 0 4 4
written 0 4 4
fresh 0 4 4
officer 0 4 4
returned 0 4 4
permitted 0 4 4
particular 0 4 4
reward 0 4 4
scarce 0 4 4
green 0 4 4
presently 0 4 4
forty 0 4 4
oath 0 4 4
honour 0 4 4
fruit 0 4 4
thanked 0 4 4
arms 0 4 4
glass 0 4 4
sorts 0 4 4
remedy 0 4 4
bath 0 4 4
ways 0 4 4
conditions 0 4 4
tippet 0 4 4
priest 0 4 4
understand 0 4 4
rich 0 4 4
holy 0 4 4
humbly 0 4 4
language 0 4 4
questions 0 4 4
seas 0 4 4
reverence 0 4 4
letter 0 4 4
according 0 4 4
hebrews 0 4 4
conference 0 4 4
knew 0 4 4
voyage 0 4 4
touching 0 4 4
navigation 0 4 4
shipping 0 4 4
america 0 4 4
faithful 0 4 4
descendants 0 4 4
inundation 0 4 4
letters 0 4 4
ages 0 4 4
altogether 0 4 4
work 0 4 4
making 0 4 4
foundation 0 4 4
plants 0 4 4
inventions 0 4 4
patterns 0 4 4
desire 0 4 4
choose 0 4 4
sitteth 0 4 4
among 0 4 4
ivy 0 4 4
charter 0 4 4
delivereth 0 4 4
sun 0 4 4
jews 0 4 4
differing 0 4 4
pools 0 4 4
adorned 0 4 4
diverse 0 4 4
diseases 0 4 4
flies 0 4 4
effects 0 4 4
beasts 0 4 4
yea 0 4 4
meat 0 4 4
heat 0 4 4
easily 0 4 4
observations 0 4 4
report 2 1 3
whence 3 0 3
become 1 2 3
deceive 1 2 3
